Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1581868800000,9858.54000000,9909.00000000,9638.12000000,9734.99000000,10121.53211300,1581872399999,98800128.87188629,97030,4308.36585000,42073947.78042252,0
1581872400000,9735.00000000,9800.00000000,9692.03000000,9755.03000000,4084.82065000,1581875999999,39868848.12505177,46495,1931.85706300,18857141.20600348,0
1581876000000,9755.04000000,9840.06000000,9755.02000000,9796.01000000,2295.30273800,1581879599999,22500574.46380524,29825,1207.76331900,11838712.85161800,0
1581879600000,9796.01000000,9797.73000000,9711.30000000,9745.57000000,2706.15380900,1581883199999,26402640.55942812,27764,1454.29539300,14183046.99680062,0
1581883200000,9745.91000000,9781.61000000,9729.96000000,9781.18000000,1833.63517100,1581886799999,17883617.40917669,20190,788.46368300,7692476.89596920,0
1581886800000,9780.80000000,9793.10000000,9753.38000000,9758.55000000,1238.79269000,1581890399999,12105534.90595977,17366,539.11015900,5268618.44148673,0
1581890400000,9759.49000000,9877.96000000,9750.73000000,9877.59000000,2119.30234700,1581893999999,20815648.53607357,25751,1145.88595100,11247900.85772967,0
1581894000000,9877.63000000,9996.58000000,9867.25000000,9917.27000000,4887.08560500,1581897599999,48581507.17501862,38430,2445.76190600,24313280.93036012,0
1581897600000,9910.70000000,9964.16000000,9850.00000000,9862.18000000,2610.68874500,1581901199999,25853627.39923629,31080,1251.45056600,12395940.71272592,0
1581901200000,9862.20000000,9909.10000000,9839.05000000,9852.83000000,1580.04702800,1581904799999,15606834.93155809,23005,941.24682600,9298383.87380742,0
1581904800000,9851.98000000,9863.57000000,9793.11000000,9840.51000000,1555.64327600,1581908399999,15292423.43789966,21336,783.09148300,7699539.76037529,0
1581908400000,9840.51000000,9849.51000000,9758.59000000,9808.40000000,2000.47249500,1581911999999,19620215.40431773,24800,961.21396800,9429414.78458411,0
1581912000000,9807.74000000,9808.32000000,9710.00000000,9742.16000000,3406.32205800,1581915599999,33231736.25196469,41416,1569.62410100,15314099.78324383,0
1581915600000,9742.18000000,9808.04000000,9738.70000000,9761.78000000,2230.45836800,1581919199999,21798265.70707627,28441,1136.42606900,11106433.99233388,0
1581919200000,9761.17000000,9842.34000000,9747.46000000,9774.11000000,2008.84242300,1581922799999,19671023.69388595,24585,1041.15171800,10195715.02450534,0
1581922800000,9773.01000000,9811.94000000,9734.85000000,9753.26000000,1761.46313900,1581926399999,17216673.58401010,21554,783.46606900,7659759.79836899,0
1581926400000,9753.01000000,9813.74000000,9737.28000000,9802.59000000,1682.62640800,1581929999999,16443501.38302434,21912,903.59326000,8830916.81186316,0
1581930000000,9801.42000000,9832.92000000,9772.22000000,9792.53000000,1826.37397800,1581933599999,17911382.87116783,21277,977.10700100,9583437.95562997,0
1581933600000,9792.53000000,9793.49000000,9677.68000000,9715.34000000,4201.22512700,1581937199999,40880848.00432646,36192,1996.53972700,19432989.18007337,0
1581937200000,9715.22000000,9716.35000000,9568.00000000,9609.94000000,8544.65392200,1581940799999,82371286.92555100,75713,3795.20255400,36584918.24572947,0
1581940800000,9609.94000000,9669.99000000,9585.35000000,9633.14000000,5810.90082700,1581944399999,55988214.34819746,60123,2812.26424600,27103023.49280625,0
1581944400000,9633.48000000,9656.88000000,9517.11000000,9532.77000000,4401.99359100,1581947999999,42147325.08846716,41710,1850.10788800,17724102.07794555,0
1581948000000,9532.72000000,9618.31000000,9452.67000000,9591.77000000,7093.67439400,1581951599999,67557027.99970835,60093,3102.42888700,29545651.08766437,0
1581951600000,9591.79000000,9661.99000000,9540.50000000,9633.45000000,4237.91300900,1581955199999,40699940.82712634,45690,1920.01305800,18439437.92104008,0
1581955200000,9635.27000000,9725.79000000,9615.63000000,9671.73000000,4117.65460700,1581958799999,39800787.29930504,45270,1887.47018800,18241974.23057308,0
1581958800000,9673.25000000,9697.65000000,9576.03000000,9640.01000000,2502.30941200,1581962399999,24108378.88250056,30401,1238.17337600,11927904.17906329,0
1581962400000,9640.01000000,9648.99000000,9580.00000000,9645.06000000,1440.46470200,1581965999999,13853950.18961099,19687,765.43982100,7364132.43831996,0
1581966000000,9645.01000000,9673.98000000,9600.00000000,9666.15000000,1387.55946000,1581969599999,13382389.38416417,19354,640.25431800,6177227.10450938,0
1581969600000,9667.34000000,9700.00000000,9616.11000000,9625.04000000,1922.09314700,1581973199999,18564894.53261437,23421,924.95148300,8936158.03757886,0
1581973200000,9628.06000000,9669.00000000,9610.00000000,9632.48000000,1019.86218700,1581976799999,9831736.54215547,17525,480.51212600,4632100.34792108,0
1581976800000,9631.95000000,9664.02000000,9607.05000000,9630.10000000,1326.13320600,1581980399999,12774740.84788233,20344,645.64216700,6218629.65207755,0
1581980400000,9630.17000000,9727.41000000,9613.12000000,9706.00000000,1591.63639200,1581983999999,15402432.08024468,23129,814.46834100,7882255.60460799,0
1581984000000,9706.00000000,9715.00000000,9624.70000000,9660.87000000,1523.95222000,1581987599999,14720910.00395827,21612,763.67698700,7375667.66006433,0
1581987600000,9660.83000000,9743.00000000,9660.83000000,9710.65000000,1972.55208200,1581991199999,19158272.77941798,25092,1072.54706300,10418415.75780388,0
1581991200000,9711.36000000,9759.00000000,9703.78000000,9714.29000000,1521.80200400,1581994799999,14815195.76671796,21158,802.37156000,7810677.82708719,0
